sku,qtd,descricao,parceira,atlas,tecnico,data,movimento,sap,id_tecnico,modalidade,responsavel,cat_material,observacao,modelo
226355710107,,CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:05:27,DEVOLUCAO,41001234,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,SMART CARD PRETO NAGRA
216746193350,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:05:56,DEVOLUCAO,41001277,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER DIGITAL HD DXC5000 2T
246328842244,,,,,LUIS FERNANDO,25/08/2025 08:05:56,DEVOLUCAO,,98,RETIRADA,IARLEY,,DIGITEC FTZ,
229734686373,,TOP MIX,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:06:05,DEVOLUCAO,41001047,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER HD THDC4
246526915861,,SIM CARD,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:06:23,DEVOLUCAO,41000805,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,SMART SIM CARD NAGRA
20354316A41C,,,,,LUIS FERNANDO,25/08/2025 08:06:30,DEVOLUCAO,,98,RETIRADA,IARLEY,,DIGITEC FTZ,
241615236262,,4K RFIP,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:06:37,DEVOLUCAO,41001583,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER CARDLESS 4K UHD S4KCW5 CABO IP
241657031532,,4K RFIP,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,LUIS FERNANDO,25/08/2025 08:06:41,DEVOLUCAO,41001583,98,RETIRADA,IARLEY,EQUIPAMENTO,DIGITEC FTZ,DECODER CARDLESS 4K UHD S4KCW5 CABO IP
B4F267682545,,,,,LUIS FERNANDO,25/08/2025 08:06:59,DEVOLUCAO,,98,RETIRADA,IARLEY,,DIGITEC FTZ,
181454530421,,LEGADO,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,CARLOS,25/08/2025 08:07:21,DEVOLUCAO,41001216,08,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,PACE - HD DCR 7411 VIRTUA
