sku,qtd,descricao,parceira,atlas,tecnico,data,movimento,sap,id_tecnico,modalidade,responsavel,cat_material,observacao,modelo
48D68237C1EC,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,EMERSON,25/08/2025 07:42:56,DEVOLUCAO,41001590,90,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI6 F6600P-NACIONAL
3C82C0C9E3B0,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,EMERSON,25/08/2025 07:42:57,DEVOLUCAO,41001513,90,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 TC3102 32X8
840112BFD034,,3.1,DIGITEC TECNOLOGIA DIGITAL E REPRES,SUSPEITO,EMERSON,25/08/2025 07:43:05,DEVOLUCAO,41001486,90,ADS,MARCELO,EQUIPAMENTO,DIGITEC FTZ,MODEM VOIP EMTA WIFI 3.1 CG3000
AP 3,10,AP 3,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:16,ENTREGA,22025241,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR APTO AMAR. NR.3
AP 5,10,AP 5,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:23,ENTREGA,22025237,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR APTO AMAR. NR.5
CASA 1,5,CASA 1,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:30,ENTREGA,22056343,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 1
CASA 3,5,CASA 3,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:31,ENTREGA,22056345,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 3
CASA 4,5,CASA 4,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:35,ENTREGA,22056340,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 4
CASA 5,5,CASA 5,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:35,ENTREGA,22056331,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 5
CASA 7,5,CASA 7,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:39,ENTREGA,22056341,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,MARCADOR CASA PTO NR 7
BUCHA,10,BUCHA,MISCELANEA,MISCELANEA,EDNEY,25/08/2025 07:44:50,ENTREGA,22025136,16,ADS,IARLEY,NAO CRITICO,DIGITEC FTZ,BUCHA P/CABO RG6/59 BRANCA
F4E84FABF13A,,GPON 6,DIGITEC TECNOLOGIA DIGITAL E REPRES,INICIALIZADO,LEANDRO,25/08/2025 07:47:00,ENTREGA,41001560,76,VT,MARCELO,EQUIPAMENTO,DIGITEC FTZ,TERMINAL GPON ONT WIFI F6645P
